LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,Sep,3,00:52:36,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
2,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
3,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
4,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
5,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
6,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
7,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
8,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
9,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
10,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
11,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
12,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
13,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
14,Sep,3,00:52:38,Akshithas-MacBook-Pro,syslogd[139],Configuration Notice:,492d7cf0,Configuration Notice:,[]
15,Sep,3,01:53:37,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
16,Sep,3,03:01:21,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
17,Sep,3,05:09:49,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
18,Sep,3,05:44:29,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
19,Sep,3,07:44:39,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
20,Sep,3,08:45:40,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
21,Sep,3,09:46:42,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
22,Sep,3,10:47:43,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
23,Sep,3,11:05:06,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
24,Sep,3,11:15:28,Akshithas-MacBook-Pro,login[56837],USER_PROCESS: 56837 ttys010,d72fd420,USER_PROCESS: <*> ttys<*>,"['56837', '010']"
25,Sep,3,11:15:28,Akshithas-MacBook-Pro,syslogd[139],ASL Sender Statistics,b5dd3697,ASL Sender Statistics,[]
